Title,Title_URL,Content,newscardfooterweb__actionbuttonsctzlwm1,Label_URL,Label,View
Bagaimana Tradisi Sanad Al-Quran di Pesantren Daqu Berlangsung?,https://kumparan.com/cerita-santri/bagaimana-tradisi-sanad-al-quran-di-pesantren-daqu-berlangsung-1y7XjOO1UDl,Cerita Santri,1,https://kumparan.com/cerita-santri/response/bagaimana-tradisi-sanad-al-quran-di-pesantren-daqu-berlangsung-1y7XjOO1UDl,0, 3 jam
"Hilang Usai Dijemput 2 Orang, Gadis Asal Malang Diduga Jadi Korban Trafficking",https://kumparan.com/jatim-now/hilang-usai-dijemput-2-orang-gadis-asal-malang-diduga-jadi-korban-trafficking-1y63V62xK3s,Jatim Now,2,https://kumparan.com/jatim-now/response/hilang-usai-dijemput-2-orang-gadis-asal-malang-diduga-jadi-korban-trafficking-1y63V62xK3s,0, 18 Mei 2022
Prof Wiku Kenang Achmad Yurianto: Garda Terdepan Saat RI Baru Dilanda COVID-19,https://kumparan.com/kumparannews/prof-wiku-kenang-achmad-yurianto-garda-terdepan-saat-ri-baru-dilanda-covid-19-1y7UzgS56BU,kumparanNEWS,2,https://kumparan.com/kumparannews/response/prof-wiku-kenang-achmad-yurianto-garda-terdepan-saat-ri-baru-dilanda-covid-19-1y7UzgS56BU,2, 4 jam
Jokowi Beri Sinyal Dukung Ganjar Pranowo?,https://kumparan.com/kumparannews/jokowi-beri-sinyal-dukung-ganjar-pranowo-1y7JIinoTCy,kumparanNEWS,11,https://kumparan.com/kumparannews/response/jokowi-beri-sinyal-dukung-ganjar-pranowo-1y7JIinoTCy,48, 17 jam
Dapatkah UU TPKS Mengakhiri Kawin Anak?,https://kumparan.com/mutti/dapatkah-uu-tpks-mengakhiri-kawin-anak-1xuDhwO8fqk,Mutti Anggitta,4,https://kumparan.com/mutti/response/dapatkah-uu-tpks-mengakhiri-kawin-anak-1xuDhwO8fqk,1, 18 Apr 2022
"Swiss Laporkan Kasus Pertama Cacar Monyet, Terinfeksi Saat di Luar Negeri",https://kumparan.com/kumparannews/swiss-laporkan-kasus-pertama-cacar-monyet-terinfeksi-saat-di-luar-negeri-1y7TZYMGwXe,kumparanNEWS,1,https://kumparan.com/kumparannews/response/swiss-laporkan-kasus-pertama-cacar-monyet-terinfeksi-saat-di-luar-negeri-1y7TZYMGwXe,0, 6 jam
"Sebelum Meninggal, Viryan Aziz Sempat Terapi Cuci Otak DSA",https://kumparan.com/hipontianak/sebelum-meninggal-viryan-aziz-sempat-terapi-cuci-otak-dsa-1y7OSZzmuri,Hi Pontianak,8,https://kumparan.com/hipontianak/response/sebelum-meninggal-viryan-aziz-sempat-terapi-cuci-otak-dsa-1y7OSZzmuri,16, 12 jam
"Eks Jubir Penanganan COVID-19, Achmad Yurianto, Meninggal Dunia",https://kumparan.com/kumparannews/eks-jubir-penanganan-covid-19-achmad-yurianto-meninggal-dunia-1y7NmKXRaUT,kumparanNEWS,20,https://kumparan.com/kumparannews/response/eks-jubir-penanganan-covid-19-achmad-yurianto-meninggal-dunia-1y7NmKXRaUT,9, 13 jam
Hikmahanto soal Bendera LGBT di Kedubes Inggris: Harusnya Hormati Nilai-Moral RI,https://kumparan.com/kumparannews/hikmahanto-soal-bendera-lgbt-di-kedubes-inggris-harusnya-hormati-nilai-moral-ri-1y7HqxqiOmO,kumparanNEWS,6,https://kumparan.com/kumparannews/response/hikmahanto-soal-bendera-lgbt-di-kedubes-inggris-harusnya-hormati-nilai-moral-ri-1y7HqxqiOmO,11, 18 jam
"Terawan Berduka Achmad Yurianto Wafat: Sosok Prajurit Gigih, Pantas Diteladani",https://kumparan.com/kumparannews/terawan-berduka-achmad-yurianto-wafat-sosok-prajurit-gigih-pantas-diteladani-1y7TFgImvY6,kumparanNEWS,3,https://kumparan.com/kumparannews/response/terawan-berduka-achmad-yurianto-wafat-sosok-prajurit-gigih-pantas-diteladani-1y7TFgImvY6,0, 7 jam
Dan Kemudian Pawang Hujan Mandalika,https://kumparan.com/yusuf-arifin/dan-kemudian-pawang-hujan-mandalika-1xkfOK2JULe,Yusuf Arifin,14,https://kumparan.com/yusuf-arifin/response/dan-kemudian-pawang-hujan-mandalika-1xkfOK2JULe,0, 25 Mar 2022
Polling: Kamu Tim Lepas Masker atau Tetap Pakai?,https://kumparan.com/kumparannews/polling-kamu-tim-lepas-masker-atau-tetap-pakai-1y6scbShria,kumparanNEWS,8,https://kumparan.com/kumparannews/response/polling-kamu-tim-lepas-masker-atau-tetap-pakai-1y6scbShria,25, 20 Mei 2022
"Eks Menteri Soeharto: Kita Tak Puas Ada Oligarki, Sekarang yang Korupsi Menteri",https://kumparan.com/kumparannews/eks-menteri-soeharto-kita-tak-puas-ada-oligarki-sekarang-yang-korupsi-menteri-1y7K35dNGCF,kumparanNEWS,16,https://kumparan.com/kumparannews/response/eks-menteri-soeharto-kita-tak-puas-ada-oligarki-sekarang-yang-korupsi-menteri-1y7K35dNGCF,8, 17 jam
"Foto: Tuntut Permintaan Maaf, Massa Gelar Aksi Bela UAS di Kedubes Singapura",https://kumparan.com/kumparannews/foto-tuntut-permintaan-maaf-massa-gelar-aksi-bela-uas-di-kedubes-singapura-1y6vDVTJBUy,kumparanNEWS,11,https://kumparan.com/kumparannews/response/foto-tuntut-permintaan-maaf-massa-gelar-aksi-bela-uas-di-kedubes-singapura-1y6vDVTJBUy,39, 20 Mei 2022
"Jika Diperintahkan Kapolri, Eks Raja OTT KPK Siap Buru Lagi Harun Masiku",https://kumparan.com/kumparannews/jika-diperintahkan-kapolri-eks-raja-ott-kpk-siap-buru-lagi-harun-masiku-1y7JFzEDDsR,kumparanNEWS,9,https://kumparan.com/kumparannews/response/jika-diperintahkan-kapolri-eks-raja-ott-kpk-siap-buru-lagi-harun-masiku-1y7JFzEDDsR,5, 17 jam
"Polisi Bongkar Gudang di Aceh, Sita 1.500 Liter Solar Diduga Milik Oknum TNI",https://kumparan.com/kumparannews/polisi-bongkar-gudang-di-aceh-sita-1-500-liter-solar-diduga-milik-oknum-tni-1xsMrfJZfHI,kumparanNEWS,1,https://kumparan.com/kumparannews/response/polisi-bongkar-gudang-di-aceh-sita-1-500-liter-solar-diduga-milik-oknum-tni-1xsMrfJZfHI,0, 13 Apr 2022
"Sauna Komunitas Gay di Spanyol Ditutup, Diduga Jadi Biang Wabah Cacar Monyet",https://kumparan.com/kumparannews/sauna-komunitas-gay-di-spanyol-ditutup-diduga-jadi-biang-wabah-cacar-monyet-1y78N4W7NhM,kumparanNEWS,6,https://kumparan.com/kumparannews/response/sauna-komunitas-gay-di-spanyol-ditutup-diduga-jadi-biang-wabah-cacar-monyet-1y78N4W7NhM,12, 21 Mei 2022
Bagaimana Jika Calon Jemaah Haji Positif COVID-19 Sebelum Berangkat?,https://kumparan.com/kumparannews/bagaimana-jika-calon-jemaah-haji-positif-covid-19-sebelum-berangkat-1y7QWdWM8fr,kumparanNEWS,1,https://kumparan.com/kumparannews/response/bagaimana-jika-calon-jemaah-haji-positif-covid-19-sebelum-berangkat-1y7QWdWM8fr,0, 7 jam
"Tak Ada Lagi Antrean, Polisi Berencana Akhiri One Way di GT Kalikangkung",https://kumparan.com/kumparannews/tak-ada-lagi-antrean-polisi-berencana-akhiri-one-way-di-gt-kalikangkung-1xywpN3GQn9,kumparanNEWS,0,https://kumparan.com/kumparannews/response/tak-ada-lagi-antrean-polisi-berencana-akhiri-one-way-di-gt-kalikangkung-1xywpN3GQn9,0, 30 Apr 2022
Pengakuan Tersangka Penganiaya Bocah di Sukoharjo: Dulu Saya Juga Dididik Begitu,https://kumparan.com/bengawannews/pengakuan-tersangka-penganiaya-bocah-di-sukoharjo-dulu-saya-juga-dididik-begitu-1xsN8RcRa0O,Bengawan News,3,https://kumparan.com/bengawannews/response/pengakuan-tersangka-penganiaya-bocah-di-sukoharjo-dulu-saya-juga-dididik-begitu-1xsN8RcRa0O,4, 13 Apr 2022
Puncak Arus Mudik di Terminal Kalideres H-3 Lebaran: 4.172 Orang Mudik,https://kumparan.com/kumparannews/puncak-arus-mudik-di-terminal-kalideres-h-3-lebaran-4-172-orang-mudik-1xywn6IBIWI,kumparanNEWS,0,https://kumparan.com/kumparannews/response/puncak-arus-mudik-di-terminal-kalideres-h-3-lebaran-4-172-orang-mudik-1xywn6IBIWI,0, 30 Apr 2022
Jemaah Haji RI yang Berangkat Tahun Ini Diasumsikan 101.500 Orang,https://kumparan.com/kumparannews/jemaah-haji-ri-yang-berangkat-tahun-ini-diasumsikan-101-500-orang-1xsN39TN4Ob,kumparanNEWS,3,https://kumparan.com/kumparannews/response/jemaah-haji-ri-yang-berangkat-tahun-ini-diasumsikan-101-500-orang-1xsN39TN4Ob,1, 13 Apr 2022
"Dendam Diceraikan, WN Pakistan Bunuh Janda 2 Anak di Tasikmalaya",https://kumparan.com/kumparannews/dendam-diceraikan-wn-pakistan-bunuh-janda-2-anak-di-tasikmalaya-1y7SpgDqlfI,kumparanNEWS,2,https://kumparan.com/kumparannews/response/dendam-diceraikan-wn-pakistan-bunuh-janda-2-anak-di-tasikmalaya-1y7SpgDqlfI,0, 7 jam
Serangan Israel ke Palestina: Bukan Cuma Soal Roket,https://kumparan.com/shofwanalbanna/serangan-israel-ke-palestina-bukan-cuma-soal-roket-1xuyz9C0RI2,Shofwan Al Banna Choiruzzad,8,https://kumparan.com/shofwanalbanna/response/serangan-israel-ke-palestina-bukan-cuma-soal-roket-1xuyz9C0RI2,1, 20 Apr 2022
"Wapres AS Kamala Harris Sembuh dari COVID-19, Langsung Kembali Kerja",https://kumparan.com/kumparannews/wapres-as-kamala-harris-sembuh-dari-covid-19-langsung-kembali-kerja-1xzyghLnstD,kumparanNEWS,0,https://kumparan.com/kumparannews/response/wapres-as-kamala-harris-sembuh-dari-covid-19-langsung-kembali-kerja-1xzyghLnstD,0, 3 Mei 2022
Pertamina Hentikan Distribusi Solar ke SPBU Kalukku Selama Sebulan,https://kumparan.com/sulbarkini/pertamina-hentikan-distribusi-solar-ke-spbu-kalukku-selama-sebulan-1xsN316d3v9,SULBAR KINI,1,https://kumparan.com/sulbarkini/response/pertamina-hentikan-distribusi-solar-ke-spbu-kalukku-selama-sebulan-1xsN316d3v9,0, 13 Apr 2022
Perfect Timing Uji Coba Hwasong-17 di Tengah Krisis Ukraina,https://kumparan.com/mutti/perfect-timing-uji-coba-hwasong-17-di-tengah-krisis-ukraina-1xlr9k7EK92,Mutti Anggitta,5,https://kumparan.com/mutti/response/perfect-timing-uji-coba-hwasong-17-di-tengah-krisis-ukraina-1xlr9k7EK92,0, 28 Mar 2022
"Ada Demo soal UAS di Depan Kedubes Singapura, Polisi Siapkan Pengamanan",https://kumparan.com/kumparannews/ada-demo-soal-uas-di-depan-kedubes-singapura-polisi-siapkan-pengamanan-1y6oOkh91Mf,kumparanNEWS,13,https://kumparan.com/kumparannews/response/ada-demo-soal-uas-di-depan-kedubes-singapura-polisi-siapkan-pengamanan-1y6oOkh91Mf,31, 20 Mei 2022
"Golkar Halut Gelar Vaksinasi selama Ramadan, yang Datang Dapat Minyak Goreng",https://kumparan.com/ceritamalukuutara/golkar-halut-gelar-vaksinasi-selama-ramadan-yang-datang-dapat-minyak-goreng-1xsN5Wk6lq0,Cermat,0,https://kumparan.com/ceritamalukuutara/response/golkar-halut-gelar-vaksinasi-selama-ramadan-yang-datang-dapat-minyak-goreng-1xsN5Wk6lq0,0, 13 Apr 2022
"Positif COVID-19 Usai dari Timur Tengah, Walkot Pekanbaru: Ini Teguran Allah SWT",https://kumparan.com/selasarriau/positif-covid-19-usai-dari-timur-tengah-walkot-pekanbaru-ini-teguran-allah-swt-1xvvTBCJopQ,Selasar Riau,0,https://kumparan.com/selasarriau/response/positif-covid-19-usai-dari-timur-tengah-walkot-pekanbaru-ini-teguran-allah-swt-1xvvTBCJopQ,0, 22 Apr 2022
"Jokowi soal 2024 di Rakernas Projo: Ojo Kesusu, Mungkin yang Kita Dukung di Sini",https://kumparan.com/kumparannews/jokowi-soal-2024-di-rakernas-projo-ojo-kesusu-mungkin-yang-kita-dukung-di-sini-1y7G6qfRRcr,kumparanNEWS,5,https://kumparan.com/kumparannews/response/jokowi-soal-2024-di-rakernas-projo-ojo-kesusu-mungkin-yang-kita-dukung-di-sini-1y7G6qfRRcr,1, 20 jam
Uni Eropa soal Kehadiran Putin di G20: Kami Tunggu Keputusan Indonesia,https://kumparan.com/kumparannews/uni-eropa-soal-kehadiran-putin-di-g20-kami-tunggu-keputusan-indonesia-1xpvSnFNCYK,kumparanNEWS,0,https://kumparan.com/kumparannews/response/uni-eropa-soal-kehadiran-putin-di-g20-kami-tunggu-keputusan-indonesia-1xpvSnFNCYK,0, 7 Apr 2022
"Ketua MPR: Tak Perlu Takut Tuduhan AS soal PeduliLindungi, RI Sangat Hormati HAM",https://kumparan.com/kumparannews/ketua-mpr-tak-perlu-takut-tuduhan-as-soal-pedulilindungi-ri-sangat-hormati-ham-1xuK5IN4YX3,kumparanNEWS,0,https://kumparan.com/kumparannews/response/ketua-mpr-tak-perlu-takut-tuduhan-as-soal-pedulilindungi-ri-sangat-hormati-ham-1xuK5IN4YX3,0, 18 Apr 2022
"Edy Rahmayadi: Hari Pertama Lebaran di Sumut Kondusif, Tetap Patuhi Prokes",https://kumparan.com/kumparannews/edy-rahmayadi-hari-pertama-lebaran-di-sumut-kondusif-tetap-patuhi-prokes-1xzwMiFVHGT,kumparanNEWS,0,https://kumparan.com/kumparannews/response/edy-rahmayadi-hari-pertama-lebaran-di-sumut-kondusif-tetap-patuhi-prokes-1xzwMiFVHGT,0, 3 Mei 2022
Pelaku Industri Kreasikan 89 Rintisan Teknologi,https://kumparan.com/swaonline/pelaku-industri-kreasikan-89-rintisan-teknologi-1xsNIm73R3W,SWAONLINE,1,https://kumparan.com/swaonline/response/pelaku-industri-kreasikan-89-rintisan-teknologi-1xsNIm73R3W,0, 13 Apr 2022
"Julo Menjaring Pendanaan Seri B Senilai Rp 1,14 Triliun",https://kumparan.com/swaonline/julo-menjaring-pendanaan-seri-b-senilai-rp-1-14-triliun-1xsNIlNIwdg,SWAONLINE,1,https://kumparan.com/swaonline/response/julo-menjaring-pendanaan-seri-b-senilai-rp-1-14-triliun-1xsNIlNIwdg,0, 13 Apr 2022
Astragraphia Bukukkan Laba Bersih Rp87 Miliar,https://kumparan.com/swaonline/astragraphia-bukukkan-laba-bersih-rp87-miliar-1xsNIkcLBPC,SWAONLINE,1,https://kumparan.com/swaonline/response/astragraphia-bukukkan-laba-bersih-rp87-miliar-1xsNIkcLBPC,0, 13 Apr 2022
"Imbauan ASN WFH Usai Libur Lebaran, KPK Tetap Terapkan WFO 75%",https://kumparan.com/kumparannews/imbauan-asn-wfh-usai-libur-lebaran-kpk-tetap-terapkan-wfo-75-1y2UDoWngwJ,kumparanNEWS,0,https://kumparan.com/kumparannews/response/imbauan-asn-wfh-usai-libur-lebaran-kpk-tetap-terapkan-wfo-75-1y2UDoWngwJ,0, 9 Mei 2022
"UAS Ceramah Depan Ribuan Warga Sumenep, Bicara Pesantren Jaga Anak dari Narkoba",https://kumparan.com/kumparannews/uas-ceramah-depan-ribuan-warga-sumenep-bicara-pesantren-jaga-anak-dari-narkoba-1y79UV7LM2X,kumparanNEWS,8,https://kumparan.com/kumparannews/response/uas-ceramah-depan-ribuan-warga-sumenep-bicara-pesantren-jaga-anak-dari-narkoba-1y79UV7LM2X,7, 21 Mei 2022
Kedutaan Besar Inggris di Jakarta Kibarkan Bendera LGBT,https://kumparan.com/kumparannews/kedutaan-besar-inggris-di-jakarta-kibarkan-bendera-lgbt-1y71iafOwV1,kumparanNEWS,3,https://kumparan.com/kumparannews/response/kedutaan-besar-inggris-di-jakarta-kibarkan-bendera-lgbt-1y71iafOwV1,27, 20 Mei 2022
"Terawan Terima Surat Pemecatan dari IDI, Ajak Semua Dokter Gabung PDSI",https://kumparan.com/kumparannews/terawan-terima-surat-pemecatan-dari-idi-ajak-semua-dokter-gabung-pdsi-1y70jYC4mg6,kumparanNEWS,9,https://kumparan.com/kumparannews/response/terawan-terima-surat-pemecatan-dari-idi-ajak-semua-dokter-gabung-pdsi-1y70jYC4mg6,17, 20 Mei 2022
Politikus Demokrat: Koalisi dengan Golkar di Pilpres Sangat Dimungkinkan,https://kumparan.com/kumparannews/politikus-demokrat-koalisi-dengan-golkar-di-pilpres-sangat-dimungkinkan-1y3GiDCucmV,kumparanNEWS,0,https://kumparan.com/kumparannews/response/politikus-demokrat-koalisi-dengan-golkar-di-pilpres-sangat-dimungkinkan-1y3GiDCucmV,0, 11 Mei 2022
Staf Khusus Kemenkumham RI Kunjungi Rutan Mempawah,https://kumparan.com/hipontianak/staf-khusus-kemenkumham-ri-kunjungi-rutan-mempawah-1xsMttklIRM,Hi Pontianak,0,https://kumparan.com/hipontianak/response/staf-khusus-kemenkumham-ri-kunjungi-rutan-mempawah-1xsMttklIRM,0, 13 Apr 2022
Kemenkes: Mudik Ujian Kita Menuju Endemi COVID-19,https://kumparan.com/kumparannews/kemenkes-mudik-ujian-kita-menuju-endemi-covid-19-1xpvZugTnsY,kumparanNEWS,0,https://kumparan.com/kumparannews/response/kemenkes-mudik-ujian-kita-menuju-endemi-covid-19-1xpvZugTnsY,0, 7 Apr 2022
Kemenag Terapkan 50% WFH 9-13 Mei untuk Pegawai yang Mudik dan Isoman,https://kumparan.com/kumparannews/kemenag-terapkan-50-wfh-9-13-mei-untuk-pegawai-yang-mudik-dan-isoman-1y2UNijwCs5,kumparanNEWS,0,https://kumparan.com/kumparannews/response/kemenag-terapkan-50-wfh-9-13-mei-untuk-pegawai-yang-mudik-dan-isoman-1y2UNijwCs5,0, 9 Mei 2022
"Foto: Kerusakan yang Ditinggalkan Pasukan Rusia di Kota Mariupol, Ukraina",https://kumparan.com/kumparannews/foto-kerusakan-yang-ditinggalkan-pasukan-rusia-di-kota-mariupol-ukraina-1xxJYvLnD7e,kumparanNEWS,2,https://kumparan.com/kumparannews/response/foto-kerusakan-yang-ditinggalkan-pasukan-rusia-di-kota-mariupol-ukraina-1xxJYvLnD7e,0, 26 Apr 2022
Australia Tetapkan Idul Fitri 2022 Jatuh Pada Senin 2 Mei,https://kumparan.com/kumparannews/australia-tetapkan-idul-fitri-2022-jatuh-pada-senin-2-mei-1xyDob6zi6w,kumparanNEWS,0,https://kumparan.com/kumparannews/response/australia-tetapkan-idul-fitri-2022-jatuh-pada-senin-2-mei-1xyDob6zi6w,0, 28 Apr 2022
"Kakek Sondani yang Menikah dengan Gadis Muda, Dikenal Dermawan",https://kumparan.com/ciremaitoday/kakek-sondani-yang-menikah-dengan-gadis-muda-dikenal-dermawan-1y7IRMjuW9P,ciremaitoday,2,https://kumparan.com/ciremaitoday/response/kakek-sondani-yang-menikah-dengan-gadis-muda-dikenal-dermawan-1y7IRMjuW9P,4, 18 jam
Ulama se-Jatim Dukung Sandiaga Uno Capres 2024: Indonesia Akan Lebih Maju,https://kumparan.com/kumparannews/ulama-se-jatim-dukung-sandiaga-uno-capres-2024-indonesia-akan-lebih-maju-1xjyrYfIxXV,kumparanNEWS,1,https://kumparan.com/kumparannews/response/ulama-se-jatim-dukung-sandiaga-uno-capres-2024-indonesia-akan-lebih-maju-1xjyrYfIxXV,3, 23 Mar 2022
Ini 4 Rekayasa Lalu Lintas Teranyar di Tol Jakarta-Cikampek,https://kumparan.com/kumparannews/ini-4-rekayasa-lalu-lintas-teranyar-di-tol-jakarta-cikampek-1xywGEzdeCH,kumparanNEWS,1,https://kumparan.com/kumparannews/response/ini-4-rekayasa-lalu-lintas-teranyar-di-tol-jakarta-cikampek-1xywGEzdeCH,0, 30 Apr 2022
Polda DIY Bongkar Modus Modif Kendaraan Jual Solar Subsidi ke Industri,https://kumparan.com/kumparannews/polda-diy-bongkar-modus-modif-kendaraan-jual-solar-subsidi-ke-industri-1xudHJt3DLf,kumparanNEWS,0,https://kumparan.com/kumparannews/response/polda-diy-bongkar-modus-modif-kendaraan-jual-solar-subsidi-ke-industri-1xudHJt3DLf,0, 19 Apr 2022
Tanya Dukcapil: Cara Mengurus Pindah Penduduk untuk Pendatang ,https://kumparan.com/kumparannews/tanya-dukcapil-cara-mengurus-pindah-penduduk-untuk-pendatang-1y48yIxVyHh,kumparanNEWS,0,https://kumparan.com/kumparannews/response/tanya-dukcapil-cara-mengurus-pindah-penduduk-untuk-pendatang-1y48yIxVyHh,0, 13 Mei 2022
5 Pria Ditembak Polisi Usai Rampok dan Buang Sopir Truk Sawit di Asahan,https://kumparan.com/kumparannews/5-pria-ditembak-polisi-usai-rampok-dan-buang-sopir-truk-sawit-di-asahan-1y5pDXlKeok,kumparanNEWS,0,https://kumparan.com/kumparannews/response/5-pria-ditembak-polisi-usai-rampok-dan-buang-sopir-truk-sawit-di-asahan-1y5pDXlKeok,0, 17 Mei 2022
Maudy Ayunda: Menkes Negara Anggota G20 Akan Bertemu di Yogya pada Juni 2022,https://kumparan.com/kumparannews/maudy-ayunda-menkes-negara-anggota-g20-akan-bertemu-di-yogya-pada-juni-2022-1xpv85Oeh4D,kumparanNEWS,3,https://kumparan.com/kumparannews/response/maudy-ayunda-menkes-negara-anggota-g20-akan-bertemu-di-yogya-pada-juni-2022-1xpv85Oeh4D,0, 7 Apr 2022
