Title,Title_URL,Image,Date
"Jelang HUT Bhayangkara, Ini Catatan KontraS untuk Polri",https://www.idntimes.com/news/indonesia/lia-hutasoit-1/jelang-hut-bhayangkara-ini-catatan-kontras-untuk-polri,https://cdn.idntimes.com/content-images/post/20190521/damar-water-cannon-kepolisian-ri-kawat-berduri-tameng-polisi-pengamanan-kpu-bawaslu2-353f1f0f9d52b26d0a66482c720a1448_300x200.jpg,"
                    
                    30 Jun 22 | 13:51
                "
Invasi Rusia ke Ukraina Sebabkan Kenaikan Harga Pangan,https://www.idntimes.com/news/world/sonya-michaella/invasi-rusia-ke-ukraina-sebabkan-kenaikan-harga-pangan,https://cdn.idntimes.com/content-images/post/20220627/whatsapp-image-2022-06-27-at-95507-am-1-e7def3912a93a93ae342b88c31656ee4_300x200.jpeg,"
                    
                    30 Jun 22 | 13:50
                "
"Serangan Bom di Yaman Tewaskan 6 Orang, Mayoritas Warga Sipil",https://www.idntimes.com/news/world/zidan-patrio/serangan-bom-di-yaman-tewaskan-6-orang-mayoritas-warga-sipil-c1c2,https://cdn.idntimes.com/content-images/community/2020/05/detonator%20bom_300x200.jpg,"
                    
                    30 Jun 22 | 13:10
                "
"Kasus Penghinaan Agama Pria Dipenggal di India, Kota Udaipur Lockdown",https://www.idntimes.com/news/world/sonya-michaella/kasus-penghinaan-agama-pria-dipenggal-di-india-kota-udaipur-lockdown,https://cdn.idntimes.com/content-images/post/20210916/whatsapp-image-2021-09-16-at-15718-pm-1-ae258e3aa4c86074926be8328c150d17_300x200.jpeg,"
                    
                    30 Jun 22 | 13:04
                "
RUU KIA Mengatur Cuti Melahirkan 6 Bulan Disahkan Jadi Insiatif DPR ,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/ruu-kia-mengatur-cuti-melahirkan-6-bulan-disahkan-jadi-insiatif-dpr,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 12:57
                "
"Waspada! Kucing Bisa Tularkan COVID-19 ke Manusia, Terjadi di Thailand",https://www.idntimes.com/news/indonesia/dini-suciatiningrum/waspada-kucing-bisa-tularkan-covid-19-ke-manusia-terjadi-di-thailand,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 12:29
                "
"TNI Baku Tembak dengan KKB di Kiwirok Papua, Seorang Prajurit Gugur ",https://www.idntimes.com/news/indonesia/irfanfathurohman/tni-baku-tembak-dengan-kkb-di-kiwirok-papua-seorang-prajurit-gugur,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 12:23
                "
"Tiga Provinsi Baru di Papua Disahkan, Polri Siap Jaga Keamanan",https://www.idntimes.com/news/indonesia/riky-lodar/tiga-provinsi-baru-di-papua-disahkan-polri-siap-jaga-keamanan,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 12:17
                "
"DPR Sahkan 2 Nama Jadi Hakim Ad-Hoc, Siapa Saja?",https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/dpr-sahkan-2-nama-jadi-hakim-ad-hoc-siapa-saja,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 12:15
                "
Tok! DPR Sahkan 3 RUU Pemekaran Papua,https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/tok-dpr-sahkan-3-ruu-pemekaran-papua,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 11:51
                "
"DPR Sahkan RUU 5 Provinsi, Papua Kini Punya 3 Provinsi Baru",https://www.idntimes.com/news/indonesia/muhammad-ilman-nafian-2/dpr-sahkan-ruu-5-provinsi-papua-kini-punya-3-provinsi-baru,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 11:38
                "
"Bantu Jeffrey Epstein Pelecehan Seks, Ghislaine Maxwell Dibui 20 Tahun",https://www.idntimes.com/news/world/ifan-wijaya/bantu-jeffrey-epstein-pelecehan-seks-ghislaine-maxwell-dibui-20-tahun,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 11:37
                "
"Ibu Kota Papua Tengah di Nabire, Warga Mimika Ancam Tutup Freeport",https://www.idntimes.com/news/indonesia/riky-lodar/ibu-kota-papua-tengah-di-nabire-warga-mimika-ancam-tutup-freeport,,"
                    
                    30 Jun 22 | 11:30
                "
"Khawatir Polarisasi di 2024, Sekjen Jokpro: Solusinya Jokowi 3 Periode",https://www.idntimes.com/news/indonesia/yosafat-diva-bagus/khawatir-polarisasi-di-2024-sekjen-jokpro-solusinya-jokowi-3-periode,,"
                    
                    30 Jun 22 | 11:24
                "
Kapolri Tunjuk Wakapolri Pimpin Sidang PK AKBP Brotoseno ,https://www.idntimes.com/news/indonesia/irfanfathurohman/kapolri-tunjuk-wakapolri-pimpin-sidang-pk-akbp-brotoseno,https://cdn.idntimes.com/content-images/post/20211119/img-20211119-wa0012-63492a6918672202602daf410f74cd5d_300x200.jpg,"
                    
                    30 Jun 22 | 11:20
                "
Jusuf Kalla: DOB Papua Percepat Pelayanan Pemerintah ke Masyarakat,https://www.idntimes.com/news/indonesia/irfanfathurohman/jusuf-kalla-dob-papua-percepat-pelayanan-pemerintah-ke-masyarakat,https://cdn.idntimes.com/content-images/post/20210817/whatsapp-image-2021-08-17-at-91930-am-9527153792e3bfbad6f7208be7efc561_300x200.jpeg,"
                    
                    30 Jun 22 | 11:07
                "
