,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,1stRepublic14thStar,"Vermont, USA",Someone who's not a right wing whacko and has a military background sharing his views on politics and current events.,False,2022-03-26 23:59:59,"@MarshaBlackburn This is a blatant lie. Even for you.

Why don't you just tell us the real reason you're opposed to her? Begins with ""N"" and ends with ""R"". Just say it already. You know you want to.",,Twitter Web App
1,Astute Technology Management,"Ohio, USA","Ohio’s premier managed IT service provider, providing cybersecurity with IT management and support for small and mid-size businesses.",False,2022-03-26 23:59:59,"Client support, Marketing, HR, Sales, PR...Don’t forget IT, the key differentiator! Learn more-  https://t.co/QI4Umnhbpp https://t.co/6256ZBi1kf",,Mindmatrix AMP
2,Cralli,"England, United Kingdom","Gamer, Film Fan. Big Scream and DC fan. Trying my hand at virtual photography. Daily Emma Roberts",False,2022-03-26 23:59:59,This is gorgeous 😍 https://t.co/aOLi8zjzIy,,Twitter for Android
3,Benjamin Duer,"North Canton, Ohio",Oi! Journalist. @cantonrepdotcom @fridaynightohio @gannett,True,2022-03-26 23:59:59,You know the assignment: Beat the Bulls. Don’t let up until it’s over.  #CHIvsCLE,['CHIvsCLE'],Twitter for iPhone
4,"💌 || 🖇 ; Mira, Faith, Damon",🖇/🦋/∞/♚ | Bodily 12,"A.U.T.I.S.M over you /j - Autistic system

Matching w/ @_Ghost_System_",False,2022-03-26 23:59:59,Uhh shit i'll call myself Zane or Zach ig,,Twitter for Android
5,Alesso Charts,Brazil ,Your best source for charts and information on DJ/Producer @Alesso || Fan Accout 🇧🇷,False,2022-03-26 23:59:59,"@sentineltrio Hi @OnAirRomeo, @JayMacRadio, @t_brat and @BennettOnAir, my request for this hour is ""Only You"" by @Alesso and @sentineltrio on @MostRequestLive. Thanks! #MostRequestedLive",,Twitter Web App
6,Mr. Palmer is My Dad,"Normal, IL",Nerd. Scientist. Wyoming-curious. ADHD brain. Feeler of feels. Pro-monocle. Political psychologist. Occasionally intentionally obsequious. He/him.,False,2022-03-26 23:59:59,"@mpbroache I’m not sure, but I believe you can file a form with your uni for hazard pay",,Twitter for iPhone
7,bird,20代　瀬戸内の多島美が素晴らしい所,📻→殆ど聴くだけリスナー(RCC・FMみはら・bayfm・MUSIC BIRDコミュニティー・AFNなど) / 🎶→新旧洋邦ジャンル問わず雑食,False,2022-03-26 23:59:59,Brandnew ! Sunday│CROSS FM│2022/03/27/日 8:00-10:00 https://t.co/wB0n3rvVkR,,Twitter for Android
8,Derek Bargerstock,"Wilmington, NC",Derek https://t.co/o9uNQurBxg…,False,2022-03-26 23:59:59,Only who one could once saying no instead,,Twitter for iPhone
9,Louis Gallo,,,False,2022-03-26 23:59:59,@elonmusk Absolutely not!,,Twitter for iPhone
