,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Pav,,"🇬🇧🇮🇳
Tennis, Snooker, Boxing, Cricket, Football, Darts and F1 fan",False,2022-04-19 09:05:48,@RobboBarnet147 @SnookertipsterO @Dilly_Min Cheers Barnet,,Twitter for Android
1,LeeenoS,,,False,2022-04-19 09:05:48,"nearly 10m views!
Let's get it!
#leeknow https://t.co/bVMrGadet8",['leeknow'],Twitter for Android
2,CasRugbyShirts (Steve Mc),,Mostly sharing match-worn Castleford rugby league shirts from the past and the present.,False,2022-04-19 09:05:48,@andrewfoster101 @cherrypie1872 @M_Shaw1 I’d love the signal for this to be a very exaggerated shrug of the shoulders,,Twitter for iPhone
3,💙🔞 Chubbs 💛,,"NSFW 💜🖤🤍-Demi/20/Artist/Self Taught|Taken | She/They 🐲 pfp sudo_poweroff 🐄 @Mokochii__
| 🔪 DNI minors, zoos/pedos/nft|
Tele: https://t.co/tgSGNUJepf",False,2022-04-19 09:05:48,"Also I probably will say this that you're never obliged or need to draw fanart of my ocs.

A simple birthday wish and a comment means a lot! &lt;3",,Twitter for Android
4,Little Rager 🔪,,Here for the memes let's be honest. SWer. Barber. Asshole.,False,2022-04-19 09:05:48,@tinyguy83 Their breakfast menu looks edible what the hell.,,Twitter for Android
5,Lauratio,,"Yo guys. 

Header is made by a close friend of mine.",False,2022-04-19 09:05:48,Some of the jokes in Mr Bean hits soo different now that im older.,,Twitter for Android
6,707,,English quote bot that tweets random quotes from 707/Luciel Choi from the mobile game Mystic Messenger every hour!★,False,2022-04-19 09:05:48,.(&lt;-This is a dot),,twittbot.net
7,Ahad,,Ibn Batuta of Social Media. Wandering the cyberworld since forever,False,2022-04-19 09:05:48,@nun_qaf @anis_sheikh66 Plus I am not calling them hypocrites... rather stating Allah swt exposed their hypocrisy. Go through any random Madkhali's twitter timeline you know.. he will not post pics of atrocities of Israel under guise of vulture journalism but post pics of peaceful iftar in AlAqsa,,Twitter for iPhone
8,Sushant,,"No such thing as a life that's better than yours.
Mechanical Engineer | Football enthusiast 
If I forget to fb, DM.
Don't take my banters seriously.",False,2022-04-19 09:05:48,"@BrightGabriell @theMadridZone @CTA_RFEF That 2nd yellow can be ignored considering he is human and mistakes happen, he didn't get to see that tackle on the VAR screen but that Vini hand ball is a disaster, he took 5 mins to watch replays only to not give that.",,Twitter for Android
9,Suisei 👨🏻‍🚀☄️,,Crypto & NFT enthusiast 🇮🇩 | $ADA $Vra | Mostly holding CNFT,False,2022-04-19 09:05:48,@DeathsquadNFT can't wait to walking with him..,,Twitter for Android
10,idam𝄞,,"hidupnya kebanyakan red velvet

#REDVELVET
#WINWIN",False,2022-04-19 09:05:48,@yesbaeby disband,,Twitter for Android
11,Maryam Yasser,,H🤍 Only you darling…,False,2022-04-19 09:05:48,@rodynadarwish Mustard ?😭,,Twitter for iPhone
12,Kazly,,,False,2022-04-19 09:05:48,@Watching4laughs Amanda is Queen lazy along with minions Ciara and Paige.,,Twitter Web App
13,Ttonia🇬🇭💦,Abuja,@UNICEF_Nigeria Media Advocate @endcuttinggirls. Outgoing. Smart. Woman. Adventurous. Social entrepreneur @Paulad_Music. Writer. Poetry lover. Passionate AGBV.,False,2022-04-19 09:05:48,Beware of scam. https://t.co/mq2BMU4UWL,,Twitter for Android
14,Citizen X,,Just Me,False,2022-04-19 09:05:48,@PacheduZW Some of those pple in CCC are content with just being officials of the main opposition party in the country. Taking over power is a bonus to them.,,Twitter for Android
15,Diamond Hands,,Crypto 📊📈 NFTS,False,2022-04-19 09:05:48,@TsuyoNFT Done!!!! https://t.co/bDTsKYONwz,,Twitter for iPhone
16,Masala Dosa,India,"Vande-mataram

Follow for logical troll, comedy, talks also movie updates ⚡",False,2022-04-19 09:05:48,@SamarthAppu Without hike alla. Saturday/Sunday hiked prices ittu. Weekdays 236 for Multiplexs because it was Non holiday,,Twitter Web App
17,Wartime Monetary Mulligan 🇸🇻,"Antwerpen, België",#Bitcoin #LaserRayUntil100K,False,2022-04-19 09:05:48,@RealKeithWeiner @BBlaiz1287 @thetrocro @gladstein Well thats not what we are doing now is it.,,Twitter for Android
