,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,❄️sooyaaa.REST,,Please follow her IG: https://t.co/vsxBpXrc7k,False,2022-04-21 23:59:59,Active on twitter again 😊 been struggling for the past week,,Twitter for Android
1,Manzar Masood,Islamabad,I am working In US-Based Health Care IT Company.,False,2022-04-21 23:59:59,@KhSaad_Rafique @KhSaad_Rafique     If he theft such amount۔ Can't you move a single application۔  Very easy to make people fool than doing something practically۔  What would you say about carpet which your leader Izaat Maab Mian Saab bought in 54 rupees from #ToshaaKhana,,Twitter for iPhone
2,Nur⁷ ⟭⟬ j.m ost | halal era | D-47,2016 ARMY . she/her  .  poc²¹,"•BTS PAVED THE WAY•  • solos/multis/islamophobes dnf•

                                                                                     220610",False,2022-04-21 23:59:59,"Y'all are FRYING everyone and I AM LIVING FOR IT 😭😭

 #TheBtsRapture",['TheBtsRapture'],Twitter for Android
3,Christopher Hart,Dakota Territory,~,False,2022-04-21 23:59:59,Decided to add an offensive weapon for the #Chiefs after taking Logan Hall earlier in the second round. https://t.co/G5l51nbmPA,['Chiefs'],Twitter Web App
4,Raf,United Kingdom,Teacher. Community Orientated Socialist. Politics. All views are my own. RT’s are not an endorsement. #Labour #LFC #YNWA✊👊🏻 Turn 🔛 my tweet notifications🔔,False,2022-04-21 23:59:59,"@HumairaWajahat Excellent thread highlighting all the positive work delivered by @PTIofficial and @ImranKhanPTI
Well done @HumairaWajahat 👌👊🏻",,Twitter for iPhone
5,Feral Dad,,"some would even say, the dadliest.",False,2022-04-21 23:59:59,@AJDoom That first dip of serotonin is enough,,Twitter for iPhone
6,NCFM-Women Against False Accusations,USA,"National Coalition for Men - Women against False Accusations Warriors against false accusations, fighting for truth. Subscribe to our Youtube Channel",False,2022-04-21 23:59:59,"@IanStirling2 @A_ThomasPoet Be in touch, please DM these details for our legal team.",,Twitter Web App
7,Elien,,"Check out our  community of real  traders  helping each other profit. Education , live  LESSONS, Alerts and more.https://t.co/rRAug8FL9y",False,2022-04-21 23:59:59,"Everyday we catch the early pump coins and make the best out of it.
https://t.co/arld4Fovzd
 $BTC $ETH $GRT $ATA $AXS $LRC $UNFI $RLC $KEEP  $RUNE $SOL https://t.co/5YQ8crRzKt",,Twitter for Android
8,The Very Vaccinated and Very Masked &%#@! Grawlix™,,"Not entirely sure what's going on, but getting a bad vibe.

Writer, teacher, photographer, mammal.

You can buy Pirates on Dinosaur Island here:",False,2022-04-21 23:59:59,@RonFilipkowski And a majority of GOP leaders still support him ...,,Twitter Web App
9,Miss¥ 🌙,GCASH/PAYPAL/CRYPTO/ INDO E ,"Welcome 🤗 Crypto/NFT HODLer 👛 Giveaways 💝  Enquiries? send a DM 💌 DYOR! #nfa 🏆:#missywinnersclub
claiming & games🤑 -@missyclaim

$USDT $BSC $ETH $GCASH 🔔",False,2022-04-21 23:59:59,@snowly309 DM @MissyClaim read 📌,,Twitter for Android
10,Del,"Jersey, UK",Just enjoy podcasts and music while walking my dogs. looking for followers as competing with my wife she has loads. do me a favour and follow me.,False,2022-04-21 23:59:59,"Added ""Disco 2000 - Pub Rock Version - previously unreleased"" by Nick Cave to my Walking Playlist on Spotify https://t.co/0hosATUlz3 https://t.co/VZmAOH95LB",,IFTTT
11,Parker 👑🇺🇦🙏,,Mentor @FatCatsDAO || Follow all #lazylions 🦁|| 🦭Sappy Seals || 🦆 Ducks || 🤴@CouncilofKingz CoK || - Chrimson Crisp is my 2nd favorite Apple 🍏,False,2022-04-21 23:59:59,@SlippySlapperz You win,,Twitter for iPad
12,moldavoidance,,,False,2022-04-21 23:59:59,"@clocksworkinma Make a post of it , the model",,Twitter Web App
13,Shekhar Sharma,on the other end of black hole,engineer not accidentally😊 |Untiring spirit|seek solace in books |favorite book @ the catcher in the rye,False,2022-04-21 23:59:59,"@quratfarooq1 There are many more words in the English dictionary than ""don't care"" 😜😜😜",,Twitter for Android
14,Khai,Menor de edad na she/her,my solace @enhypen,False,2022-04-21 23:59:59,"@quratfarooq1 There are many more words in the English dictionary than ""don't care"" 😜😜😜",,Twitter for iPhone
15,Stella ☆*.🩰,My room,✬☆*.•: He was a punk She did ballet What more can I say? ✬☆*.•⨳14 ✬ may 28th ✬☆*.•⨳,False,2022-04-21 23:59:59,YOU KNEW MF YOU KNEW,,Twitter for iPhone
16,Allie the She/Theysbian⚧🏳️‍🌈,,"Trash.  The absolute worst;  Trans-Femme, Demi-Masculine Enby; they/them, she/her",False,2022-04-21 23:59:59,@chrissyleansl @WistfulOtter @ShannonBDouglas very true and i'm very happy the kid was able to get away from this trashman,,Twitter Web App
17,Yasmin Pereira,,,False,2022-04-21 23:59:59,O burrice,,Twitter for Android
18,Hassan,"Milwaukee, WI",,False,2022-04-21 23:59:59,@AgentCF12 @Jrue_Holiday11 Embarrassing dude,,Twitter for iPhone
19,Twıtter Plays 2048,Twitter,Interact with tweets to play 2048! Game updates every 15 minutes.,False,2022-04-21 23:59:59,"Score - 1448
High Score - 7432

⬇️ - ❤️
⬅️ - 🔁 https://t.co/Q9uf7SG78j",,2048GameLive
20,Augusta GA E-911,,,False,2022-04-21 23:59:59,4/21/2022@7:58 PM: MISSING PERSON / RUNAWAY at 932 HOLDEN ST AUGUSTA GA https://t.co/skfYQdt3sB,,Augusta E911 Traffic Information
21,dhewynitinegoro,Purwakarta,Mahasiswi @universitas pendidikan indonesia,False,2022-04-21 23:59:59,when the last one falls or when it's all set and done it gets hard but it won't take away my love...,,twittbot.net
22,🇲🇽,,https://t.co/GJwwsXh8dU,False,2022-04-21 23:59:59,@Lqbau @Cartiaye_ @Rmzyj Yea bro,,Twitter for iPhone
23,Big Womp,"Dallas, TX","Arkansas raised, Lone Star livin | (French/Bulldog) | Coffee guy | @thekushsports contributor | #NR",False,2022-04-21 23:59:59,Body bagged https://t.co/k7Akx2oU83,,Twitter for iPhone
24,L,,,False,2022-04-21 23:59:59,@DellGrell @Sxarchive @PornstarNameID Skylarvox,,Twitter for iPhone
25,drep,approaching rapidly,"Black artist/video editor. Looking for work (Video Editing). Adult.

Comms (2/4) 

she/he/they

🚫DNI PEDO PROSHIP ZOO🚫",False,2022-04-21 23:59:59,sorry for my spam uploads i found a bunch of old art https://t.co/TUMvoKNq2j,,Twitter Web App
26,Perri F. Baby,IV,snap: beejperri ig: haramBEEJ,False,2022-04-21 23:59:59,@Blenk_KAnVes Yikes,,Twitter for iPhone
27,WYSTREAMTV,,GAMER NEWS,False,2022-04-21 23:59:59,Godzilla vs King Kong COMEING TO CALL OF DUTY? https://t.co/WcmK2Il7JU,,Twitter for iPhone
28,Cin🌸🌿,🇬🇧,Pokémon Master / Shiny Hunter✨/ #AniPoke / #MyHeroAcademia / The World's #1 Mallow stan!!💚 / Pfp by @risingstar2002 :D / He/They | 18 | Bi🏳️‍🌈,False,2022-04-21 23:59:59,"if i ever like your tweet from my priv don’t read into it much, i probably just forgot i was logged in there lol",,Twitter for iPhone
29,iOptimize Realty®,"Melville, NY","Tenant Representation, Economic Development, Strategic Advisory, Commercial Real Estate Optimization & Space Disposition #CRE #TenantRep, #Office #Warehouse",False,2022-04-21 23:59:59,"Now, more than ever, you need a tenant rep. All of the services they provide -- negotiations, market expertise, coordination, and strategic advice -- remain.

#CRE #TenantRep #NewNormal #CorporateRealEstate #TenantTips  
https://t.co/yasQA6qvYq",,HubSpot
30,Venom | Fan Account ❤️‍🔥,Waiting for Cb2,Fan account | I am not venomsdefenses | I am NOT affiliated with cardi b or her team. | I am following & respecting Twitter guidelines! Cardi Noticed x9,False,2022-04-21 23:59:59,@_sosobardii @iamcardib @kiaabardis @PRESSBARDl @CARDlTUNE @cardisbirkin @sassyynichellee @era_cb2 @BARDIMAMI @cardi_hourly @BardisRevenge is funny too but we barely interact 💔🥲,,Twitter for iPhone
31,࿔ moo,theyvamhe ; rcbyf ⇝,#LUFFY: king julian from madagascar is just like me fr,False,2022-04-21 23:59:59,my pathetic little guys https://t.co/SuT4AQ81Rp https://t.co/DijLLIz3kl,,Twitter for iPhone
32,ً,咲. She They. Oa,,False,2022-04-21 23:59:59,@ofcpuhreh rishan,,Twitter for Android
33,boy-o,,TRASH CAN 🚮,False,2022-04-21 23:59:59,"@Gguktteokki EVERYONE, I WOULD JUST LIKE TO ANNOUNCE THAT I AM NOW EUNI'S PICTURE CARD DEALER. AND I GLADLY ACCEPT. ♥",,Twitter Web App
34,SpigotDrama,,"New SpigotDrama every hour. ""It's almost real"" - a spigot mod. Not based on real events (hopefully), for fun only! Not affiliated with any platform or person.",False,2022-04-21 23:59:59,"Phoenix616 causes forking, MOSS Discord upstreams Syscraft in protest",,Spigot Drama Generator
35,Ushnaaa 🤍,Pakistan 🇵🇰,"Smile Is The Real Power Of Every Person 🌸 
Only His Smile Matters The Most 
 May Allah Protect His Smile 🧡
I Meet Him @WaseemBadami 
 On 03- Jan - 2021 👀",False,2022-04-21 23:59:59,"How're you  seem  Dami ????
@WaseemBadami",,Twitter for Android
36,HabsRocket,"Toronto, Ontario",Here for the sports🏒🥅🏈| Habs|Bills|,False,2022-04-21 23:59:59,@fnveenie This profile switched terrified me,,Twitter for iPhone
37,Vasileios Tyrmakidis,"Germany, 73614 Schorndorf","You will find everything you need on https://t.co/QE0Hx7Qy4p, something about me and a resume (biography)",False,2022-04-21 23:59:59,no one should be seek and ugly,,Twitter Web App
38,Lamp,New Jersey,"33/M/NJ, (he/him) Chubby ram from the middle of New Jersey. Expect song clips, occasional sketches, and photography!
pfp by @sunflowerkenma",False,2022-04-21 23:59:59,Sometimes I feel like if I stopped posting other places nobody would actually notice.,,Twitter Web App
