,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Anna.Johnson8732,,Free thinker with the super power of rational thought.,False,2022-04-07 13:16:03,@BratMeow DC going full homophobe is an odd turn @dc_mma,,Twitter for iPad
1,👸🏾,,🛠🛠🛠,False,2022-04-07 13:16:03,@Godwilnotwhineu You’re so mad. Meanwhile most of the divest klan are foreigners.,,Twitter for iPhone
2,Mery,,"Nothing last forever.
- Caitussy Lover -",False,2022-04-07 13:16:03,"It's funny that i have too many projects in mind but... I'm starting new ones everyday, fuck, I'm feeling like an INTP but I love them, someone come and slap my face and make me Focus on one thing PLEASE.",,Twitter for Android
3,Ottawa_Traffic,"Ottawa, Ontario, Canada",Updates from the City of Ottawa - Traffic. Monitored Mon - Fri: 6am to 6pm. En français: @Ottawa_Circule,False,2022-04-07 13:16:03,"Ramp closed between Tenth Line S/B and 174 W/B - construction. From 10am to 4pm on Thursday, April 7. #otttraffic",['otttraffic'],Interactive Traffic Map
4,no-name Fever Dream,,appreciate the darkness because its probably the last thing youll see,False,2022-04-07 13:16:03,"@EmersonBarrett you look gorgeus as hell oh my god
why can't i tattoo this video",,Twitter for Android
5,okewa1/4 Pin.,,...........,False,2022-04-07 13:16:03,@zionpearl I have left mine at the slab level. The difference in metal prices from the original quote is astounding.,,Twitter for Android
6,shrek bot 🏰,my other bots:,a bot that tweets a random line from shrek every hour | created by @addyluvzpizza,False,2022-04-07 13:16:03,"What do you mean? Look, I ain't never seen you like this before.",,Shrek Auto-Tweeter
7,YOUR MCM,,THERE ARE NO MEN lIKE ME......ONLY ME,False,2022-04-07 13:16:03,Everybody dey claim D😅🤣 https://t.co/QangL891jy,,Twitter Web App
8,Najeefa Shahnaaz,,2nd year biomedical science student at Cardiff Metropolitan University,False,2022-04-07 13:16:03,"About Friday (1st April)
I attended a meets the professional and it was very informative. I learnt a lot about how to work in a multidisciplinary team and the day to day role of a counsellor…",,Twitter for iPhone
9,zea ☘️🍋,jae's fat heart,looking forward to 2024 | wake me up when day6 wamil era ends.,False,2022-04-07 13:16:03,IS IT REALLY MIDNIGHT LOCAL TIME??? HOLLYF IM NOT READY YET.,,Twitter for Android
10,✨CallmeP✨,,Paige Instagram: @stylishh_p,False,2022-04-07 13:16:03,Where we started Vs where she is now 😮‍💨 https://t.co/c4svPGnYpB,,Twitter for iPhone
11,Caro,#LaurenWentSolo,"Slytherin シ 

I'm a girl. 21. I'm probably tweeting high so please leave me tf alone.",False,2022-04-07 13:16:03,He attacked multiple people.... https://t.co/TKfcf4rI02,,Twitter for Android
12,Gee,,I just be tweeting n shi…,False,2022-04-07 13:16:03,My biggest inspiration in life rn is fasho @CoryxKenshin,,Twitter for iPhone
