,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,VeerCame,,Call me Dick,False,2022-04-27 23:59:59,@hangmanfucks @EvilUno I love everyone in this picture but it definitely looks like a bunch of theater kids that just hit their late 20's early 30's and kept the same energy the whole time lol,,Twitter for Android
1,.ツ Y Ξ gor. 🇺🇦,New York,🇺🇦🇺🇸 #girldadx2. Business Owner. Founder. Investor. Student of life. My investing journey. https://t.co/uo1P5xswkI,False,2022-04-27 23:59:59,@LizSimmie Sure women and men both can do math but Interesting how you say men can cook and OCCASIONALLY are able to perform basic child rearing activities… why did you have to go with occasionally as a word? Men are capable as much as women to care little ones,,Twitter for iPhone
2,Lucia ♡🌙,Slovenská republika,"♡ Proud Monbebe ♡

♡ Supporting Wonho ♡ I also like Stray Kids, Ateez, Oneus, Mamamoo, Dreamcatcher, Pink Fantasy, ITZY & more ♡ 

(she/her)
(Fan account)",False,2022-04-27 23:59:59,"@whale4minhyuk Thank you for the GA 💛

LOVE #LOVE #MONSTAX_LOVE #ShapeofLove @OfficialMonstaX 

28 https://t.co/CKft57llXt","['LOVE', 'MONSTAX_LOVE', 'ShapeofLove']",Twitter for Android
3,charlie ,"Kansas, USA",Chiefs|Mets |  honest Tom Fraudy fan | respected ball knower | never been wrong b4 | @umich,False,2022-04-27 23:59:59,@Thomas_L24 W then,,Twitter for iPhone
4,Eric Moore,,C S Lewis-Those who torment us for our own good will torment us without end for they do so with the approval of their own conscience. Proud member #NRA #MAGA,False,2022-04-27 23:59:59,@MossMom19 I was 20 yrs old at NCSU when that was produced and I loved it!,,Twitter for iPad
5,"nabe, fb",she/her,"#𝗖𝗔 ; Cinderella by day, SIN-derella by night 🔞",False,2022-04-27 23:59:59,"@wucunna ntky nay, let’s get closer yaa",,Twitter for iPhone
6,Connie Mckenney,,Vaccinated,False,2022-04-27 23:59:59,@Leyla_M_O No but will follow you now!,,Twitter for Android
7,Killjoy Jake 🫣,watching horror movies,23 | Loud YouTube horror guy with no friends. Subscribe to my channel! 👻🔪 (he/him),False,2022-04-27 23:59:59,SCREAM 6 LIVE TALK: Am I On The Stu Train?! https://t.co/5ZoGju7p13,,Periscope
8,SoundBowlBae,Plotting on a million,SoundBowlHealer💜 Gemini 🌪👯 NamasteAndShit ✨💫🌕 oh yea I design clothes too 🎨 @ThisIsMyGetMoney_IG @Porshnineeleven,False,2022-04-27 23:59:59,Cramping and working out 👎🏽,,Twitter for iPhone
9,Professor Mystify,Follow your dreams ,Experimental YouTuber that makes videos on LNs,False,2022-04-27 23:59:59,86 Eighty Six Character Tier List (SPOILERS) https://t.co/SotY0Xw7dw via @YouTube,,Twitter for iPhone
