,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Bz / 张迪,"Los Angeles, CA",they/them / ”watching paint dry” / artist & architect / @designasprotest @darkmatter_u,False,2022-04-10 23:59:59,"@de_nichols Late to the game, missed when it happened! 🤦🏻‍♀️🥰",,Twitter for iPhone
1,Engineer Mohmmed Ahmed,,God and victory with America.,False,2022-04-10 23:59:59,Men of help. US.Marines https://t.co/5VypXguPqp,,Twitter Web App
2,IsaFang,France,"Essayons d'apprécier les petites choses du quotidien. Le rire d'un enfant qui passe, quelqu'un vous dit bonjour, un canapé confort. Demain est un autre jour.",False,2022-04-10 23:59:59,@krebiozen @OXHarryH1 @AndrewLazarus4 @insins31544458 @FvckYourFear @mcfunny @BigDaddyDollarz @ogilville1 @ShockTraumaNP @JimeeLiberty @GeoffSchuler @Nockit1 @TonyBaduy @BethParsley5 @NoMisinfoToday @Balgor11 @nuhope2022 @IdunsDaughter @zeetubes @richykirsh @raouldukeerik @pawley_robert @sammy44231 @volpiranyas @pompili_amanda @provaxtexan @CarignanAbreu @HighJanky @KStateTurk @handmadekathy @SkepticalMutant @PLHartungRN @MatthewNewell67 @ConsequentialBr @JonDaley7 @noonienoodie @doritmi @JasonKowalyshyn @JonathanHannah @doom37455413 @MaureenStroud @andylumm @Monstercoyliar @tomsirolimus @SallyJiggles @LizNYC13 @butterednoodIe @KayVonPaul @bartm @Alex_on_A14 Yes right   I meant to say the other drugstore ut issued. Far more expansive than ivermectine,,Twitter for Android
3,𝓡𝓪𝓶𝓲🦋 ᱬ ||,he/him,ˢᶜᵃʳˡᵉᵗ ᵂⁱᵗᶜʰ// ᴸⁱᶻᶻⁱᵉ ᴼˡˢᵉⁿ🛐🛐 ᶜʰʳⁱˢ ᴱᵛᵃⁿˢ💒 ᶜʰʳⁱˢ ᴴᵉᵐˢʷᵒʳᵗʰ🏄‍♀️,False,2022-04-10 23:59:59,"@cupofmariel perdonameeee, sho no ll kise azeeer",,Twitter for Android
4,holden,Virginia,15 I stream a little bit,False,2022-04-10 23:59:59,"@AcidPoison12 gotta eat and help my dad out again, might go live later tonight if I'm up for it",,Twitter Web App
5,mars 🍂 I LOVE FAE THE MOST,any pronouns ,Hello. I hope somebody is listening,False,2022-04-10 23:59:59,@nickancharIie YOU ARE NOT THAG MUCH OLDER TJAN ME STFU,,Twitter for iPhone
6,bismillah_hokky,,Bismillah tiada usaha yang menghiyanati hasil❤️❤️👍,False,2022-04-10 23:59:59,@prctiu @nftkam Done https://t.co/87fl2efAHY,,Twitter for Android
7,Jessica,Kansas,"My name is Jessica Garwood and I am a 3rd grade teacher in Kansas 🌻
I have 3 boys 👦 
2 dogs 🐕 
and a cat 🐈",False,2022-04-10 23:59:59,"@BnosMalka Classroom library list 
https://t.co/sq1Lhtwlip",,Twitter for Android
8,Skift,"New York City, NY","Breaking news, insights and trends for executives across all sectors of travel through reporting, research, conferences and marketing services.",True,2022-04-10 23:59:59,Expedia Hires Google Travel Advertising Director Rob Torres https://t.co/w8US6X0Plj,,HubSpot
9,LAYLO,OKC/Houston Tx,Mr #ILOVEMYDAUGHTER I stand for #HookEm #Astros #Texans  #ABN #RealMusic #RealLyrics retired #XboxGamer self proclaimed movie critic.,False,2022-04-10 23:59:59,"It’s time.
#PowerForce",['PowerForce'],Twitter for iPhone
10,blayke,Peak : Immortal 3 239 RR,18 • F/A • Immortal Streamer,False,2022-04-10 23:59:59,"LIVE WITH FACECAM
https://t.co/NEEgJAbhUb",,Twitter for iPhone
11,曾帥气zeng,,我永远喜欢余晖烁烁！,False,2022-04-10 23:59:59,"#TheOwlHouse 
#TheOwlHouseSeason2 
#TOH 
#lumity 
so cute https://t.co/olfqg5KvgU","['TheOwlHouse', 'TheOwlHouseSeason2', 'TOH', 'lumity']",Twitter Web App
12,ᴹᴸᴮ𝚂𝚘𝚜𝚘 𝙺𝚘𝚌𝚑𝚘ₖₙᵧ🪶🕵️‍♂️🐧,(qualquer pronome) •INFP• ,"𝒃𝒍𝒂𝒄𝒌𝒑𝒊𝒏𝒌 𝒊𝒕𝒔 𝒂 𝒓𝒆𝒗𝒐𝒍𝒖𝒕𝒊𝒐𝒏
                                                                           ᴷⁱᵐᵉᵗˢᵘ ⁿᵒ ʸᵃⁱᵇᵃ",False,2022-04-10 23:59:59,Namorem logo mds😭😭😭 https://t.co/jnpTZXrecQ,,Twitter for Android
