,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,OrangeCrush,,"bruh, i make really bad 8 bit music

Credits to springy for this absolute God like pfp",False,2022-04-28 23:59:59,69th post https://t.co/LV3DrtwhGT,,Twitter Web App
1,Kim Fischer,,,False,2022-04-28 23:59:59,@jono_nath @charleyb2355 @ignasious9 @esunachimba @KJBar @jamesmassola @canberratimes @GreensACT That is mainly about ACT labor. Canberra Libs need to rebrand.,,Twitter for iPhone
2,Gary Lundberg,"MidWest, USA","Family, Friends, Fun, People, Learning, Art, Photography, Movies, Music, Collaboration, Outdoors, Hiking - Header: ""Frontline Heroes"" mural by Mauricio Ramirez",False,2022-04-28 23:59:59,#PutinsGenocide is already in history. He will not stop. The free and democratic world faces another multigenerational conflict with the horrors of extreme evil. We must do everything to prevail. Foreign and domestic. https://t.co/LYJbRBpw49,['PutinsGenocide'],Twitter for iPhone
3,cherif fanta❤️,"Istanbul, Turquie",,False,2022-04-28 23:59:59,@Abdramane007 Amine 🤲🏾🤣🤣🤣,,Twitter for iPhone
4,HANO诺北,,"音乐剧/dw/银河帝国/音游/滚
泛性恋，英国留学生，非单身，究极oc人
目标有朝一日打入bbc内部做dw编剧",False,2022-04-28 23:59:59,"damn, when can i starting to move myself out of North England and go to freaking London for some musicals like LesMis and Hamilton",,Twitter for Android
5,Léopold Desessards,,,False,2022-04-28 23:59:59,@travelingcrypto What happened to the 10k one you had going?,,Twitter for Android
6,shrooms,,,False,2022-04-28 23:59:59,i don’t trust people with apple music. what are you hiding?,,Twitter for iPhone
7,ETF Think Tank,United States,"Your source for ETF ideas, strategies, tools, thought leadership, and growth tactics. Our value prop is to enhance yours.",False,2022-04-28 23:59:59,"The Genisis of Core Scientific with Mike Levitt

Watch this new clip from the full episode of The Blockchain Interviews with Mike Levitt of Core Scientific!  #bitcoin @MikeJLevitt @ETFProfessor

 https://t.co/b5qnovGjfN",,HubSpot
8,Chris,"Vicente López, Argentina","all these roots without a tree / me gustan las lucecitas en la oscuridad, ahí abajo está mi ig",False,2022-04-28 23:59:59,@GiuliPulice SUBLIME,,Twitter for Android
9,"MJ O'Neill, The Great & Terrible Wyrm (lapsed)",Meanjin,Beats. Noise. Singing. Skating. Silliness. Love. Girlpunk. Smiles. Smarts. Queer. Superhuman. She/her.,False,2022-04-28 23:59:59,"@IpseDixitCicero Holy shit, I went to a private school where I had shit burnt into my arm and I still can’t believe that happened to you. That’s fucked. So sorry.",,Twitter Web App
