,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,martaa,,🤧🤧,False,2022-04-22 15:59:23,and I need someone to bring me back to life,,Twitter for Android
1,High_Tide 🏴‍☠️ 🍌,,"$gme, #antifa I’m not selling. 💩 #hodl 🏴‍☠️ 🍌",False,2022-04-22 15:59:23,"@unusual_whales YES Sir  AND #GME , this is the way #DFV that #GME is..","['GME', 'DFV', 'GME']",Twitter for iPhone
2,Paris 💖💚,Mandaluyong City,#LetLeniLead | mars4mars.barbsxbarbs,False,2022-04-22 15:59:23,Volunteers need po ng gun tacker at thumbtacks here sa venue 💖💚 #PasayIsPink,['PasayIsPink'],Twitter for iPhone
3,Universum 2157,,,False,2022-04-22 15:59:23,Just need understand that Bible not one book of Priest and exist many book which explain this,,Twitter Web App
4,JANET HYER,,,False,2022-04-22 15:59:23,@RepMcClintock It’s is a giveaway blessings 🎊drop your cash tag and receive the $ in 2 or 3 minutes if you interested no scam it’s real and legit 💯🎊🎊❤️❤️🤩🤩🤩?,,Twitter for iPhone
5,Mr K,,,False,2022-04-22 15:59:23,Looking for a sugarbaby #sugardaddy #nsfwtwt #buyingcontent,"['sugardaddy', 'nsfwtwt', 'buyingcontent']",Twitter for iPhone
6,Wiley - Heatwave,,beast at fortnite and huge chick magnet,False,2022-04-22 15:59:23,@LooseEndzz sickening…,,Twitter for iPhone
7,Catriona Ward ☀️🕘 SUNDIAL out now ☀️🕘,"Dartmoor, Devon, UK","Author of SUNDIAL, THE LAST HOUSE ON NEEDLESS STREET and more.  https://t.co/CWgtPthQHD Reps @jennysavill1 & @RStrausAgency. Film/TV @mldean_& @unitedtalent",False,2022-04-22 15:59:23,@Laurie1_MT @Suzie_Cakebread @picadorbooks @ViperBooks @VikingBooksUK @canongatebooks @GrantaBooks Thank you! ☀️🕙,,Twitter for iPhone
8,Chaiwat. P,,,False,2022-04-22 15:59:23,good night everyone guy and girl friends🙏,,Twitter for Android
9,bunniii,,"bingus lover, she/her, 19",False,2022-04-22 15:59:23,@ItsAmmon watr park fun,,Twitter for iPhone
10,CRy0,,"So, I make EDM, yeah. (pro JavaScript dev) Check out @AzazalMeow for a cookie as he is the reason I make music! (hoping to get into vtubing eventually 0-0)",False,2022-04-22 15:59:23,@vector_spaceman nice,,Twitter for iPhone
11,StockXSupply,"New York, USA","StockX monitor for price updates, deals, and more powered by @TheSiteSupply. Bot available for Discord now! Tweets contain affiliate links.",False,2022-04-22 15:59:23,"18% ($52) lower than last sale!
Supreme S Logo Hooded Sweatshirt (FW19) Dark Green
Size: L — Last sale: $295

BUY NOW ➡ $243
https://t.co/LdW8rFewVN https://t.co/GOeETRXYrh",,StockX Deals by SiteSupply
12,LaLaLoopsie,,this is where I write snazzy stuff to get people to like me. 🇺🇸,False,2022-04-22 15:59:23,"@MateoKnowsBest @tloquercio @boemsf @angiewong Ummmm, this is awkward.",,Twitter for iPhone
13,🙃,,parapapapaaaaaaa                        (she/her),False,2022-04-22 15:59:23,I just woke up from a nap,,Twitter for iPhone
14,Sarah FX,,,False,2022-04-22 15:59:23,"World’s no.1 FX and CFD provider  📉📈

Open account &gt; https://t.co/rNbnsOHjqw ✅ 

Follow + Do bell alerts
 
April 22, 2022 at 06:59PM",,IFTTT
15,tika,,Path : tikapcahyani,False,2022-04-22 15:59:23,one person unfollowed me // automatically checked by https://t.co/Y8GxRRIukH,,fllwrs
16,Badger Sporran,,"HR manager, sometime runner ballroom/Latin dancer, dad (amazing kids , honest) and proud Pops. Heritage Scottish proud Wirralian. Views my own.",False,2022-04-22 15:59:23,@CarolineLucas Don’t believe it is incompetence it is a deliberate move!,,Twitter for iPhone
17,ari ✘ 🍂 WATCHING HEARTSTOPPER,gallavich pr's manager,I can kinda see it. nick and charlie.,False,2022-04-22 15:59:23,BESO,,Twitter for Android
18,Zaynab,Somewhere,Teacher 👩‍🏫 ! communication enthusiast! Public speaker ! learning Data Analysis!,False,2022-04-22 15:59:23,@Phoenix4721 @elhabeeb62 So you dnt want me to enjoy the goodness you are about to enjoy,,Twitter for iPhone
19,Halla hossam,,,False,2022-04-22 15:59:23,Nefsy fe termes,,Twitter for iPhone
20,7 forever,"Waukegan, IL",IG: BlackGodwayne,False,2022-04-22 15:59:23,Y’all thought those Fortune 500 companies were donating money to BLM in hopes of it actually going back to the community to fight police brutality? Yea good luck,,Twitter for iPhone
21,루시 (busy),nsfw ,sub • 22 • she/her • mdni,False,2022-04-22 15:59:23,ok but pink is such a pretty color,,Twitter for Android
22,AssaRMytang_hobiwifeday❤,BANGTAN ,"𝚖𝚢 𝚕𝚒𝚏𝚎 : 𝚊𝚛𝚖𝚢_ 
  𝓳𝓲𝓶𝓲𝓷..

19

YKSRESTİNDE",False,2022-04-22 15:59:23,"@thv_andie JIMIN OST OUT TOMORROW 

#OurBluesJiminOST
#JiminOSTIsComing","['OurBluesJiminOST', 'JiminOSTIsComing']",Twitter for Android
23,Ricki,"Maitland, FL",,False,2022-04-22 15:59:23,@MeidasTouch And Ron DeSantis is doing the same in Florida.  I hope that Disney’s attorneys are all over it.  He is turning this state into a total mess!,,Twitter for iPhone
24,Joe Mama,Yo mama's house,Spittin' Straight Facts,False,2022-04-22 15:59:23,@MeidasTouch And Ron DeSantis is doing the same in Florida.  I hope that Disney’s attorneys are all over it.  He is turning this state into a total mess!,,Twitter for Android
25,leah,she/her // 18,/hug discduo !!,False,2022-04-22 15:59:23,DREAM NO,,Twitter for iPhone
26,01:05,"Dallas, TX",@cecil.cr,False,2022-04-22 15:59:23,@StarboyLias He hacked ur acct ?,,Twitter for iPhone
27,bien,"Paris, France",,False,2022-04-22 15:59:23,jeez its 12 lol,,Twitter Web App
28,"🍜🌶️🖕 🦁 🦄76,1%",,👉👈,False,2022-04-22 15:59:23,me meo 🤣 https://t.co/LuWwz3ZUgJ,,Twitter for Android
29,BROOKELYN 🏁,earth,♡ 323 ♡,False,2022-04-22 15:59:23,@KingMe_Mp @HeadshotsStocks @NotMessiahh @sopaysushi @YungPancakes @MaximumRaids @sidslayyy a real rey.,,Twitter for iPhone
30,M. S. Dobie,"Harare, Zimbabwe, Africa.","•Alternative Movement @altmvt •Break Away From The Norm •Kushanda, kusimudzira hupenyu hwedu •Live Without Limits •Mukristu Usanete •Tweeting daily experiences.",False,2022-04-22 15:59:23,Let’s keep pushing!,,Twitter for iPhone
31,lexyyy •ɞ•,Kinda ia tsayyy,'𝙢𝙖𝙠𝙚 𝙝𝙖𝙮 𝙬𝙝𝙞𝙡𝙚 𝙩𝙝𝙚 𝙨𝙪𝙣 𝙨𝙝𝙞𝙣𝙚𝙨' -𝓳𝓮𝓸𝓷 𝓳𝓾𝓷𝓰𝓴𝓸𝓸𝓴⁷,False,2022-04-22 15:59:23,Humoriss https://t.co/Nk6GPjIQy6,,Twitter for Android
32,June F. Tillman,"NY, US","Remember, confrontation is about reconciliation and awareness, not judgement or anger. - Dale Patridge",False,2022-04-22 15:59:23,"▶️ Download PDF 〈Oishinbo: The Joy of Rice, Vol. 6: A la Carte〉 ▶️ 
✓The easy way to download
✓Always available
✓Free to download https://t.co/I5JU8WJwtK",,Twitter Web App
33,Calvin,Panama,"I run https://t.co/aZcwecRwOr, a shipping data service, and a Latin America real estate business.",False,2022-04-22 15:59:23,"Pacific MRs closing in on 30k TCE average...Heard of an old non scrubber MR put on a long charter at 20k/day.

The market structure has changed and product tankers are clear winners.",,Twitter Web App
34,Thea.Ret,,,False,2022-04-22 15:59:23,Join me in my Space! https://t.co/njgYh8syxm,,Twitter for Android
35,lidi ♡୨୧ ꒱,she/her || rcbyf,19 || 𖡼.𖤣𖥧𖡼.𖤣𖥧,False,2022-04-22 15:59:23,@sylvainsummer good morning jade!! have a good day 🫶,,Twitter for iPhone
